[-0.184677, -0.124677] ; [0.961094, 1.02109] ; [1.28142, 1.34142]
[-0.181603, -0.121603] ; [0.960091, 1.02009] ; [1.28131, 1.34131]
[-0.178221, -0.118221] ; [0.959738, 1.01974] ; [1.28147, 1.34147]
[-0.175014, -0.115014] ; [0.959055, 1.01906] ; [1.28148, 1.34148]
[-0.171579, -0.111579] ; [0.959039, 1.01904] ; [1.28168, 1.34168]
[-0.168398, -0.108398] ; [0.958293, 1.01829] ; [1.28172, 1.34172]
[-0.165223, -0.105223] ; [0.957398, 1.0174] ; [1.2817, 1.3417]
[-0.162014, -0.102014] ; [0.956813, 1.01681] ; [1.28178, 1.34178]
[-0.158855, -0.098855] ; [0.956317, 1.01632] ; [1.28185, 1.34185]
[-0.155493, -0.095493] ; [0.955979, 1.01598] ; [1.28196, 1.34196]
[-0.152327, -0.092327] ; [0.95499, 1.01499] ; [1.28189, 1.34189]
[-0.149107, -0.089107] ; [0.954403, 1.0144] ; [1.28197, 1.34197]
[-0.145979, -0.085979] ; [0.953714, 1.01371] ; [1.28199, 1.34199]
[-0.14276, -0.08276] ; [0.953205, 1.01321] ; [1.282, 1.342]
[-0.139604, -0.079604] ; [0.952513, 1.01251] ; [1.28206, 1.34206]
[-0.136416, -0.076416] ; [0.951827, 1.01183] ; [1.28217, 1.34217]
[-0.130252, -0.070252] ; [0.950615, 1.01062] ; [1.28228, 1.34228]
[-0.127215, -0.0672148] ; [0.949847, 1.00985] ; [1.28228, 1.34228]
[-0.124131, -0.0641308] ; [0.948836, 1.00884] ; [1.28224, 1.34224]
[-0.12096, -0.0609604] ; [0.948559, 1.00856] ; [1.28237, 1.34237]
[-0.117875, -0.0578749] ; [0.947921, 1.00792] ; [1.28255, 1.34255]
[-0.115212, -0.055212] ; [0.946619, 1.00662] ; [1.28215, 1.34215]
[-0.11206, -0.0520603] ; [0.94596, 1.00596] ; [1.2821, 1.3421]
